#Organism/Name	BioProject Accession	BioProject ID	Group	SubGroup	Size (Mb)	GC%	Chromosomes/RefSeq	Chromosomes/INSDC	Plasmids/RefSeq	Plasmids/INSDC	WGS	Scaffolds	Genes	Proteins	Release Date	Modify Date	Status	Center
Enterococcus faecium UAA947	PRJNA88801	88801	Firmicutes	Bacilli	-	-	-	-	-	-	-	-	-	-	-	-	No data	Broad Institute
Enterococcus faecium UAA951	PRJNA88805	88805	Firmicutes	Bacilli	-	-	-	-	-	-	-	-	-	-	-	-	No data	Broad Institute
Enterococcus faecium UAA952	PRJNA88807	88807	Firmicutes	Bacilli	-	-	-	-	-	-	-	-	-	-	-	-	No data	Broad Institute
Enterococcus faecium UAA1007	PRJNA88809	88809	Firmicutes	Bacilli	-	-	-	-	-	-	-	-	-	-	-	-	No data	Broad Institute
Enterococcus faecium UAA1019	PRJNA88813	88813	Firmicutes	Bacilli	-	-	-	-	-	-	-	-	-	-	-	-	No data	Broad Institute
Enterococcus faecium UAA1022	PRJNA88815	88815	Firmicutes	Bacilli	-	-	-	-	-	-	-	-	-	-	-	-	No data	Broad Institute
Enterococcus faecium UAA1023	PRJNA88817	88817	Firmicutes	Bacilli	-	-	-	-	-	-	-	-	-	-	-	-	No data	Broad Institute
Enterococcus faecium UAA1024	PRJNA88819	88819	Firmicutes	Bacilli	-	-	-	-	-	-	-	-	-	-	-	-	No data	Broad Institute
Enterococcus faecium UAA1025	PRJNA88821	88821	Firmicutes	Bacilli	-	-	-	-	-	-	-	-	-	-	-	-	No data	Broad Institute
Enterococcus faecium UAA1280	PRJNA88825	88825	Firmicutes	Bacilli	-	-	-	-	-	-	-	-	-	-	-	-	No data	Broad Institute
Enterococcus faecium UAA1433	PRJNA88827	88827	Firmicutes	Bacilli	-	-	-	-	-	-	-	-	-	-	-	-	No data	Broad Institute
Enterococcus faecium UAA1484	PRJNA88829	88829	Firmicutes	Bacilli	-	-	-	-	-	-	-	-	-	-	-	-	No data	Broad Institute
Enterococcus faecium ATCC 8459	PRJNA88837	88837	Firmicutes	Bacilli	-	-	-	-	-	-	-	-	-	-	-	-	No data	Broad Institute
Enterococcus faecium UAA210	PRJNA88897	88897	Firmicutes	Bacilli	-	-	-	-	-	-	-	-	-	-	-	-	No data	Broad Institute
Enterococcus faecium UAA407	PRJNA88993	88993	Firmicutes	Bacilli	-	-	-	-	-	-	-	-	-	-	-	-	No data	Broad Institute
Enterococcus faecium UAA430	PRJNA88997	88997	Firmicutes	Bacilli	-	-	-	-	-	-	-	-	-	-	-	-	No data	Broad Institute
Enterococcus faecium UAA431	PRJNA88999	88999	Firmicutes	Bacilli	-	-	-	-	-	-	-	-	-	-	-	-	No data	Broad Institute
Enterococcus faecium UAA717	PRJNA89007	89007	Firmicutes	Bacilli	-	-	-	-	-	-	-	-	-	-	-	-	No data	Broad Institute
Enterococcus faecium UAA949	PRJNA89009	89009	Firmicutes	Bacilli	-	-	-	-	-	-	-	-	-	-	-	-	No data	Broad Institute
Enterococcus faecium UAA950	PRJNA89011	89011	Firmicutes	Bacilli	-	-	-	-	-	-	-	-	-	-	-	-	No data	Broad Institute
Enterococcus faecium Efm_NY1-1	PRJNA89015	89015	Firmicutes	Bacilli	-	-	-	-	-	-	-	-	-	-	-	-	No data	Broad Institute
Enterococcus faecium Efm_NY1-2	PRJNA89017	89017	Firmicutes	Bacilli	-	-	-	-	-	-	-	-	-	-	-	-	No data	Broad Institute
Enterococcus faecium Efm_NY1-3	PRJNA89019	89019	Firmicutes	Bacilli	-	-	-	-	-	-	-	-	-	-	-	-	No data	Broad Institute
Enterococcus faecium Efm_NY1-4	PRJNA89021	89021	Firmicutes	Bacilli	-	-	-	-	-	-	-	-	-	-	-	-	No data	Broad Institute
Enterococcus faecium Efm_NY1-5	PRJNA89023	89023	Firmicutes	Bacilli	-	-	-	-	-	-	-	-	-	-	-	-	No data	Broad Institute
Enterococcus faecium Efm_NY1-6	PRJNA89025	89025	Firmicutes	Bacilli	-	-	-	-	-	-	-	-	-	-	-	-	No data	Broad Institute
Enterococcus faecium Efm_NY3-1	PRJNA89027	89027	Firmicutes	Bacilli	-	-	-	-	-	-	-	-	-	-	-	-	No data	Broad Institute
Enterococcus faecium LCT-EF90	PRJNA141665	141665	Firmicutes	Bacilli	2.71522	38.2	-	-	-	-	AJKH01	31	-	-	2012/04/09	2012/04/12	Scaffolds or contigs	BGI-shenzhen
Enterococcus faecium VAN 476	PRJNA157797	157797	Firmicutes	Bacilli	-	-	-	-	-	-	-	-	-	-	-	-	No data	Broad Institute
Enterococcus faecium VAN 327	PRJNA157799	157799	Firmicutes	Bacilli	-	-	-	-	-	-	-	-	-	-	-	-	No data	Broad Institute
Enterococcus faecium Aus0004	PRJNA157905	157905	Firmicutes	Bacilli	3.01978	38.3424	-	CP003351.1	-	CP003353.1,CP003354.1	-	4	2997	2932	2012/03/01	2012/04/25	Complete	University of Melbourne
Enterococcus faecium C309	PRJNA160211	160211	Firmicutes	Bacilli	-	-	-	-	-	-	-	-	-	-	-	-	No data	Shanghai Institutes for Biological Sciences, Chinese Academy of Sciences
Enterococcus faecium LCT-EF128	PRJNA161911	161911	Firmicutes	Bacilli	2.59348	38	-	-	-	-	AJUP01	-	-	-	2012/05/08	2012/06/13	Scaffolds or contigs	BGI-shenzhen
Bacillus mycoides DSM 2048	PRJNA55207	55207	Firmicutes	Bacilli	5.56191	35.2	NZ_CM000742.1	CM000742.1	-	-	ACMU01	1	5747	5658	2009/04/30	2010/06/09	Complete	Naval Medical Research Center
Bacillus mycoides Rock1-4	PRJNA55209	55209	Firmicutes	Bacilli	5.8415	35.4	NZ_CM000743.1	CM000743.1	-	-	ACMV01	1	5938	5885	2009/04/30	2010/06/09	Complete	Naval Medical Research Center
Bacillus mycoides Rock3-17	PRJNA55211	55211	Firmicutes	Bacilli	5.71395	35.4	NZ_CM000744.1	CM000744.1	-	-	ACMW01	1	5903	5800	2009/04/30	2010/02/03	Complete	Naval Medical Research Center
Yersinia frederiksenii WA 933	PRJNA29745	29745	Proteobacteria	Gammaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	No data	Naval Medical Research Center
Yersinia frederiksenii WE 83/02	PRJNA29747	29747	Proteobacteria	Gammaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	No data	Naval Medical Research Center
Yersinia frederiksenii CNY 867	PRJNA29749	29749	Proteobacteria	Gammaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	No data	Naval Medical Research Center
Yersinia frederiksenii 7175	PRJNA29751	29751	Proteobacteria	Gammaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	No data	Naval Medical Research Center
Yersinia frederiksenii 867	PRJNA29753	29753	Proteobacteria	Gammaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	No data	Naval Medical Research Center
Yersinia frederiksenii WA 935	PRJNA29789	29789	Proteobacteria	Gammaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	No data	Naval Medical Research Center
Yersinia frederiksenii ATCC 33641	PRJNA54347	54347	Proteobacteria	Gammaproteobacteria	4.88534	46.9	-	-	-	-	AALE02	161	4427	4358	2005/10/19	2010/02/03	Scaffolds or contigs	Naval Medical Research Center
Yersinia kristensenii 105	PRJNA29759	29759	Proteobacteria	Gammaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	No data	Naval Medical Research Center
Yersinia kristensenii 490	PRJNA29761	29761	Proteobacteria	Gammaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	No data	Naval Medical Research Center
Yersinia kristensenii WA 948	PRJNA29763	29763	Proteobacteria	Gammaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	No data	Naval Medical Research Center
Yersinia kristensenii WE 180/98	PRJNA29765	29765	Proteobacteria	Gammaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	No data	Naval Medical Research Center
Yersinia kristensenii ATCC 33638	PRJNA55245	55245	Proteobacteria	Gammaproteobacteria	5.04239	47.4	-	-	-	-	ACCA01	153	4611	4542	2009/06/01	2010/02/03	Scaffolds or contigs	Naval Medical Research Center
Alteromonas macleodii ATCC 27126	PRJNA55253	55253	Proteobacteria	Gammaproteobacteria	4.60784	44.7	-	-	-	-	ABQB01	716	4448	4396	2008/12/15	2010/02/03	Scaffolds or contigs	Evolucinary Genomics Group, Universidad Miguel Hernandez
Alteromonas macleodii str. 'Deep ecotype'	PRJNA58251	58251	Proteobacteria	Gammaproteobacteria	4.44898	44.9	NC_011138.2	CP001103.2	-	-	-	1	4141	4084	2008/08/14	2012/06/14	Complete	The Gordon and Betty Moore Foundation Marine Microbiology Initiative
Alteromonas macleodii str. 'Black Sea 11'	PRJNA65401	65401	Proteobacteria	Gammaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	No data	University Miguel Hernandez
Alteromonas macleodii str. 'Adriatic Sea 1'	PRJNA65403	65403	Proteobacteria	Gammaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	No data	University Miguel Hernandez
Alteromonas macleodii str. 'Balearic Sea AD45'	PRJNA65405	65405	Proteobacteria	Gammaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	No data	University Miguel Hernandez
Alteromonas macleodii str. 'English Channel 673'	PRJNA65407	65407	Proteobacteria	Gammaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	No data	University Miguel Hernandez
Stenotrophomonas maltophilia R551-3	PRJNA58657	58657	Proteobacteria	Gammaproteobacteria	4.57397	66.3	NC_011071.1	CP001111.1	-	-	-	1	4134	4039	2008/07/21	2011/11/21	Complete	US DOE Joint Genome Institute
Stenotrophomonas maltophilia K279a	PRJNA61647	61647	Proteobacteria	Gammaproteobacteria	4.85113	66.3	NC_010943.1	AM743169.1	-	-	-	1	4514	4386	2008/04/25	2011/12/03	Complete	Wellcome Trust Sanger Institute
Stenotrophomonas maltophilia JV3	PRJNA72473	72473	Proteobacteria	Gammaproteobacteria	4.54448	66.9	NC_015947.1	CP002986.1	-	-	-	-	4177	4063	2011/08/17	2012/06/14	Complete	JGI
Stenotrophomonas maltophilia RR-10	PRJNA74289	74289	Proteobacteria	Gammaproteobacteria	4.66056	66.3	-	-	-	-	AGRB01	158	-	-	2011/12/09	2012/03/06	Scaffolds or contigs	Zhejiang University 
Stenotrophomonas maltophilia SKK35	PRJEA77885	77885	Proteobacteria	Gammaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	No data	Karlsruhe Institue of Technology - Institue of functional Interfaces
Stenotrophomonas maltophilia RA8	PRJEA77887	77887	Proteobacteria	Gammaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	No data	Karlsruhe Institue of Technology - Institue of functional Interfaces
Stenotrophomonas maltophilia PML168	PRJNA77941	77941	Proteobacteria	Gammaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	No data	Plymouth Marine Laboratory
Stenotrophomonas maltophilia SM28	PRJNA82605	82605	Proteobacteria	Gammaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	No data	Chinese PLA Institute for Disease Control & Prevention, Academy of Military Medical Sciences
Stenotrophomonas maltophilia D457	PRJEA162199	162199	Proteobacteria	Gammaproteobacteria	4.76916	66.8	NC_017671.1	HE798556.1	-	-	-	-	4239	4101	2012/04/11	2012/05/08	Complete	University of Valencia
Stenotrophomonas maltophilia Ab55555	PRJNA164599	164599	Proteobacteria	Gammaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	No data	Broad Institute
Bifidobacterium bifidum DSM 20456 = JCM 1255	PRJNA28655	28655	Actinobacteria	Actinobacteria	-	-	-	-	-	-	-	-	-	-	-	-	No data	Washington University Genome Sequencing Center
Bifidobacterium bifidum NCIMB 41171	PRJNA55283	55283	Actinobacteria	Actinobacteria	2.18614	62.8	-	-	-	-	ABQP01	9	1904	1852	2008/08/26	2010/12/01	Scaffolds or contigs	Broad Institute
Bifidobacterium bifidum S17	PRJNA59545	59545	Actinobacteria	Actinobacteria	2.18688	62.8	NC_014616.1	CP002220.1	-	-	-	1	1845	1783	2010/10/19	2011/07/29	Complete	Institute of Microbiology and Biotechnology, University of Ulm
Bifidobacterium bifidum PRL2010	PRJNA59883	59883	Actinobacteria	Actinobacteria	2.21466	62.7	NC_014638.1	CP001840.1	-	-	-	1	1791	1706	2010/11/02	2012/01/26	Complete	Laboratory of Probiogenomics, Department of genetics, university of Parma, Italy
Bifidobacterium bifidum CECT 7366	PRJNA158481	158481	Actinobacteria	Actinobacteria	-	-	-	-	-	-	-	-	-	-	-	-	No data	BIOPOLIS S.L.
Bifidobacterium bifidum BGN4	PRJNA167988	167988	Actinobacteria	Actinobacteria	2.22366	62.6	NC_017999.1	CP001361.1	-	-	-	1	1902	1834	2012/06/05	2012/06/12	Complete	Korea Research Institute of Bioscience and Biotechnology (KRIBB)
Micrococcus luteus SK58	PRJNA46281	46281	Actinobacteria	Actinobacteria	2.62269	72.7	-	-	-	-	ADCD01	112	2546	2489	2010/02/24	2010/03/11	Scaffolds or contigs	J. Craig Venter Institute
Micrococcus luteus NCTC 2665	PRJNA55345	55345	Actinobacteria	Actinobacteria	2.32059	73	-	-	-	-	CABC01	134	2297	2250	2008/11/05	2010/02/24	Scaffolds or contigs	IG/CEA
Micrococcus luteus NCTC 2665	PRJNA59033	59033	Actinobacteria	Actinobacteria	2.5011	73	NC_012803.1	CP001628.1	-	-	-	1	2345	2236	2009/06/12	2011/11/21	Complete	US DOE Joint Genome Institute (JGI-PGF)
Helicobacter pullorum NCTC 12824	PRJNA30721	30721	Proteobacteria	delta/epsilon subdivisions	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	University of Birmingham
Helicobacter pullorum MIT 98-5489	PRJNA55293	55293	Proteobacteria	delta/epsilon subdivisions	1.91907	34.1	-	-	-	-	ABQU01	44	2044	2008	2008/08/26	2010/06/08	Scaffolds or contigs	Broad Institute
Helicobacter canadensis MIT 98-5491	PRJNA41357	41357	Proteobacteria	delta/epsilon subdivisions	-	-	-	-	-	-	-	-	-	-	-	-	No data	Baylor College of Medicine
Helicobacter canadensis MIT 98-5491	PRJNA55289	55289	Proteobacteria	delta/epsilon subdivisions	1.60597	33.7	-	-	-	-	ABQS01	23	1663	1627	2008/08/26	2011/05/11	Scaffolds or contigs	Broad Institute
Helicobacter canadensis MIT 98-5491	PRJNA55359	55359	Proteobacteria	delta/epsilon subdivisions	1.62384	33.7	NZ_CM000776.2	CM000776.2	-	-	ACSF01	1	1603	1535	2009/07/07	2010/02/03	Complete	Helicobacter canadensis MIT 98-5491 Sequence Consortium
Streptococcus equi subsp. zooepidemicus BHS5	PRJEA40565	40565	Firmicutes	Bacilli	2.13953	41.6	-	-	-	-	CABY01	11	-	-	2010/10/21	2010/10/21	Scaffolds or contigs	Centre for Genomic Research. University of Liverpool
Streptococcus equi subsp. equi 4047	PRJNA59259	59259	Firmicutes	Bacilli	2.25379	41.3	NC_012471.1	FM204883.1	-	-	-	1	2242	2000	2009/03/26	2012/01/25	Complete	The Wellcome Trust Sanger Institute
Streptococcus equi subsp. zooepidemicus	PRJNA59261	59261	Firmicutes	Bacilli	2.14987	41.5	NC_012470.1	FM204884.1	-	-	-	1	2058	1869	2009/03/26	2011/05/10	Complete	The Wellcome Trust Sanger Institute
Streptococcus equi subsp. zooepidemicus MGCS10565	PRJNA59263	59263	Firmicutes	Bacilli	2.02417	41.8	NC_011134.1	CP001129.1	-	-	-	1	2001	1893	2008/08/11	2011/12/01	Complete	The Methodist Hospital Research Institute
Streptococcus equi subsp. zooepidemicus ATCC 35246	PRJNA162155	162155	Firmicutes	Bacilli	2.16726	41.6	NC_017582.1	CP002904.1	-	-	-	1	-	-	2011/06/30	2012/05/03	Complete	big
Zymomonas mobilis subsp. mobilis ZM4	PRJNA29	29	Proteobacteria	Alphaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	No data	Univ. Copenhagen
Zymomonas mobilis subsp. mobilis str. CP4 = NRRL B-14023	PRJNA35033	35033	Proteobacteria	Alphaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	JGI
Zymomonas mobilis subsp. mobilis ATCC 29191	PRJNA35035	35035	Proteobacteria	Alphaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	JGI
Zymomonas mobilis subsp. mobilis NCIMB 11163	PRJNA41019	41019	Proteobacteria	Alphaproteobacteria	2.22352	46.6156	NC_013355.1	CP001722.1	NC_013357.1,NC_013358.1,NC_013356.1	CP001724.1,CP001725.1,CP001723.1	-	4	1978	1884	2009/09/15	2010/04/16	Complete	US DOE Joint Genome Institute
Zymomonas mobilis subsp. mobilis ATCC 10988	PRJNA55403	55403	Proteobacteria	Alphaproteobacteria	2.14346	46.0424	NC_017262.1	CP002850.1	NC_017183.1,NC_017185.1,NC_017181.1,NC_017184.1,NC_017180.1,NC_017182.1	CP002852.1,CP002856.1,CP002853.1,CP002854.1,CP002851.1,CP002855.1	-	7	1931	1803	2011/06/13	2012/06/18	Complete	US DOE Joint Genome Institute (JGI-PGF)
Zymomonas mobilis subsp. mobilis ZM4	PRJNA58095	58095	Proteobacteria	Alphaproteobacteria	2.05636	46.3	NC_006526.2	AE008692.2	-	-	-	1	1807	1736	2004/12/10	2012/06/13	Complete	Macrogen Inc.
Zymomonas mobilis subsp. pomaceae ATCC 29192	PRJNA68445	68445	Proteobacteria	Alphaproteobacteria	2.06141	44.0421	NC_015709.1	CP002865.1	NC_015716.1,NC_015715.1	CP002867.1,CP002866.1	-	3	1840	1748	2011/06/17	2011/09/21	Complete	US DOE Joint Genome Institute
Zymomonas mobilis subsp. mobilis NRRL B-12526	PRJNA167429	167429	Proteobacteria	Alphaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	No data	Key Laboratory of Resource Biology and Eco-environment of Ministry of Education, Sichuan Key Laboratory of Molecular Biology and Biotechnology
Zymomonas mobilis subsp. mobilis str. CP4 = NRRL B-14023	PRJNA167436	167436	Proteobacteria	Alphaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	No data	Key Laboratory of Resource Biology and Eco-environment of Ministry of Education, Sichuan Key Laboratory of Molecular Biology and Biotechnology
Sulfolobus solfataricus 98/2	PRJNA55849	55849	Crenarchaeota	Thermoprotei	5.34944	35.4994	NC_017274.1	CP001800.1	-	-	ACUK01	506	6104	5782	-	-	Complete	Washington State University
Sulfolobus solfataricus P2	PRJNA57721	57721	Crenarchaeota	Thermoprotei	2.99225	35.8	NC_002754.1	AE006641.1	-	-	-	1	3034	2978	2001/10/03	2011/12/08	Complete	European/Canadian Consortium
Sulfolobus solfataricus 98/2	PRJNA167998	167998	Crenarchaeota	Thermoprotei	2.66897	35.8	-	-	-	-	-	1	2956	2679	2009/10/20	2012/06/06	Complete	US DOE Joint Genome Institute (JGI-PGF)
Haemophilus parasuis 29755	PRJNA54869	54869	Proteobacteria	Gammaproteobacteria	2.22414	39.8	-	-	-	-	ABKM01	246	2309	2244	2008/02/14	2011/07/29	Scaffolds or contigs	Iowa State University
Haemophilus parasuis SH0165	PRJNA59273	59273	Proteobacteria	Gammaproteobacteria	2.26916	40	NC_011852.1	CP001321.1	-	-	-	1	2299	2021	2009/01/07	2011/08/15	Complete	Huazhong Agricultural University
Haemophilus parasuis str. Nagasaki	PRJNA77723	77723	Proteobacteria	Gammaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	No data	CRESA_UAB
Haemophilus parasuis str. Nagasaki	PRJNA78023	78023	Proteobacteria	Gammaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	No data	CRESA_UAB
Haemophilus parasuis gx033	PRJNA82233	82233	Proteobacteria	Gammaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	No data	Guangxi Veterinary Research Institute
Mycobacterium leprae TN	PRJNA57697	57697	Actinobacteria	Actinobacteria	3.2682	57.8	NC_002677.1	AL450380.1	-	-	-	1	2770	1605	2001/10/02	2012/06/14	Complete	Sanger Institute
Mycobacterium leprae Br4923	PRJNA59293	59293	Actinobacteria	Actinobacteria	3.26807	57.8	NC_011896.1	FM211192.1	-	-	-	1	2770	1604	2009/01/10	2011/12/15	Complete	Institut Pasteur
Mycobacterium leprae Kyoto-2	PRJNA65803	65803	Actinobacteria	Actinobacteria	-	-	-	-	-	-	-	-	-	-	-	-	No data	Leprosy Research Center, National Institute of Infectious Diseases
Acetobacter pasteurianus IFO 3283-01	PRJNA59279	59279	Proteobacteria	Alphaproteobacteria	3.34024	53.0701	NC_013209.1	AP011121.1	NC_013214.1,NC_013215.1,NC_013211.1,NC_013213.1,NC_013212.1,NC_013210.1	AP011126.1,AP011127.1,AP011123.1,AP011125.1,AP011124.1,AP011122.1	-	7	3121	3049	2009/08/27	2009/10/02	Complete	Acetobacter pasteurianus genome sequencing consortium
Acetobacter pasteurianus subsp. pasteurianus LMG 1262	PRJEA61317	61317	Proteobacteria	Alphaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	Vital-IT - Swiss Institute of Bioinformatics
Acetobacter pasteurianus 3P3	PRJEA61319	61319	Proteobacteria	Alphaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	Vital-IT - Swiss Institute of Bioinformatics
Acetobacter pasteurianus NBRC 101655	PRJDA65545	65545	Proteobacteria	Alphaproteobacteria	3.01831	52.7	-	-	-	-	BACF01	294	2888	2888	2012/01/06	2012/01/06	Scaffolds or contigs	Yamaguchi University
Acetobacter pasteurianus subsp. pasteurianus LMG 1262	PRJDA65547	65547	Proteobacteria	Alphaproteobacteria	2.8882	53.1	-	-	-	-	BACG01	306	2820	2820	2012/01/06	2012/01/06	Scaffolds or contigs	Yamaguchi University
Acetobacter pasteurianus IFO 3283-03	PRJNA158373	158373	Proteobacteria	Alphaproteobacteria	3.33967	53.07	NC_017100.1	AP011128.1	NC_017142.1,NC_017109.1,NC_017101.1,NC_017118.1,NC_017119.1,NC_017120.1	AP011132.1,AP011134.1,AP011129.1,AP011130.1,AP011131.1,AP011133.1	-	7	3120	3048	2009/08/27	2012/04/11	Complete	Acetobacter pasteurianus genome sequencing consortium
Acetobacter pasteurianus IFO 3283-32	PRJNA158375	158375	Proteobacteria	Alphaproteobacteria	3.33704	53.0701	NC_017111.1	AP011156.1	NC_017134.1,NC_017102.1,NC_017149.1,NC_017112.1,NC_017103.1,NC_017135.1	AP011157.1,AP011160.1,AP011158.1,AP011162.1,AP011161.1,AP011159.1	-	7	3118	3046	2009/08/27	2012/04/11	Complete	Acetobacter pasteurianus genome sequencing consortium
Acetobacter pasteurianus IFO 3283-01-42C	PRJNA158377	158377	Proteobacteria	Alphaproteobacteria	3.24799	53.1587	NC_017150.1	AP011163.1	NC_017106.1,NC_017107.1,NC_017152.1,NC_017105.1,NC_017104.1,NC_017151.1	AP011167.1,AP011168.1,AP011169.1,AP011165.1,AP011164.1,AP011166.1	-	7	3050	2984	2009/08/27	2012/04/12	Complete	Acetobacter pasteurianus genome sequencing consortium
Acetobacter pasteurianus IFO 3283-12	PRJNA158379	158379	Proteobacteria	Alphaproteobacteria	3.33699	53.0701	NC_017108.1	AP011170.1	NC_017113.1,NC_017137.1,NC_017115.1,NC_017116.1,NC_017136.1,NC_017114.1	AP011172.1,AP011176.1,AP011174.1,AP011175.1,AP011171.1,AP011173.1	-	7	3118	3046	2009/08/27	2012/04/11	Complete	Acetobacter pasteurianus genome sequencing consortium
Acetobacter pasteurianus IFO 3283-07	PRJNA158381	158381	Proteobacteria	Alphaproteobacteria	3.33842	53.0701	NC_017121.1	AP011135.1	NC_017122.1,NC_017143.1,NC_017110.1,NC_017144.1,NC_017124.1,NC_017123.1	AP011137.1,AP011136.1,AP011138.1,AP011140.1,AP011141.1,AP011139.1	-	7	3119	3047	2009/08/27	2012/04/11	Complete	Acetobacter pasteurianus genome sequencing consortium
Acetobacter pasteurianus IFO 3283-22	PRJNA158383	158383	Proteobacteria	Alphaproteobacteria	3.33965	53.07	NC_017125.1	AP011142.1	NC_017128.1,NC_017127.1,NC_017117.1,NC_017126.1,NC_017145.1,NC_017129.1	AP011147.1,AP011145.1,AP011143.1,AP011144.1,AP011146.1,AP011148.1	-	7	3120	3048	2009/08/27	2012/04/11	Complete	Acetobacter pasteurianus genome sequencing consortium
Acetobacter pasteurianus IFO 3283-26	PRJNA158531	158531	Proteobacteria	Alphaproteobacteria	3.33968	53.07	NC_017146.1	AP011149.1	NC_017132.1,NC_017147.1,NC_017148.1,NC_017131.1,NC_017133.1,NC_017130.1	AP011153.1,AP011152.1,AP011154.1,AP011151.1,AP011155.1,AP011150.1	-	7	3120	3048	2009/08/27	2012/04/11	Complete	Acetobacter pasteurianus genome sequencing consortium
Francisella novicida FTE	PRJNA30717	30717	Proteobacteria	Gammaproteobacteria	1.88847	32.4	-	-	-	-	ABSS01	4	1820	1772	2008/07/18	2009/10/08	Scaffolds or contigs	BioHealthBase
Francisella novicida GA99-3549	PRJNA54635	54635	Proteobacteria	Gammaproteobacteria	1.89744	32.3	-	-	-	-	AAYF01	9	1750	1664	2007/05/14	2010/06/08	Scaffolds or contigs	The Broad Institute Genome Sequencing Platform
Francisella novicida GA99-3548	PRJNA54799	54799	Proteobacteria	Gammaproteobacteria	1.84549	32.4	-	-	-	-	ABAH01	5	1741	1659	2007/05/31	2010/06/08	Scaffolds or contigs	The Broad Institute Genome Sequencing Platform
Francisella novicida FTG	PRJNA55313	55313	Proteobacteria	Gammaproteobacteria	1.84393	32.4	-	-	-	-	ABXZ01	5	1780	1734	2008/10/06	2010/06/09	Scaffolds or contigs	BioHealthBase
Francisella novicida U112	PRJNA58499	58499	Proteobacteria	Gammaproteobacteria	1.91003	32.5	NC_008601.1	CP000439.1	-	-	-	1	1781	1719	2006/11/28	2011/11/29	Complete	University of Washington
Francisella novicida FSC159	PRJNA73383	73383	Proteobacteria	Gammaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	Swedish Defence Research Agency
Francisella novicida FSC160	PRJNA73385	73385	Proteobacteria	Gammaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	Swedish Defence Research Agency
Francisella novicida FSC595	PRJNA73395	73395	Proteobacteria	Gammaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	Swedish Defence Research Agency
Francisella cf. novicida Fx1	PRJNA162105	162105	Proteobacteria	Gammaproteobacteria	1.91362	32.5	NC_017450.1	CP002557.1	-	-	-	1	1867	1818	2011/04/08	2012/05/01	Complete	LANL
Francisella cf. novicida 3523	PRJNA162107	162107	Proteobacteria	Gammaproteobacteria	1.94531	32.3	NC_017449.1	CP002558.1	-	-	-	1	1898	1854	2011/04/08	2012/05/16	Complete	LANL
Pasteurella multocida subsp. multocida str. Pm70	PRJNA57627	57627	Proteobacteria	Gammaproteobacteria	2.25749	40.4	NC_002663.1	AE004439.1	-	-	-	1	2089	2012	2000/10/24	2012/02/13	Complete	Univ. Minnesota
Pasteurella multocida	PRJNA66357	66357	Proteobacteria	Gammaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	No data	Department of Veterinary Microbiology, College of Veterinary Science and Animal Husbandry, Anand Agricultural University, Anand, Gujarat, India
Pasteurella multocida subsp. multocida str. Anand1_buffalo	PRJNA66359	66359	Proteobacteria	Gammaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	No data	Department of Veterinary Microbiology, College of Veterinary Science and Animal Husbandry, Anand Agricultural University, Anand, Gujarat, India
